Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,7.432400,7.438700,7.429700,7.432400,7.432400,0
2018-11-06,7.438300,7.442900,7.426200,7.435000,7.435000,0
2018-11-07,7.434700,7.444500,7.427000,7.435700,7.435700,0
2018-11-08,7.431000,7.437000,7.426000,7.430000,7.430000,0
2018-11-09,7.428000,7.436700,7.415400,7.427700,7.427700,0
2018-11-12,7.426500,7.429200,7.384800,7.426500,7.426500,0
2018-11-13,7.421600,7.429800,7.417000,7.421000,7.421000,0
2018-11-14,7.420600,7.423300,7.416600,7.422400,7.422400,0
2018-11-15,7.419400,7.429200,7.417200,7.419600,7.419600,0
2018-11-16,7.424400,7.433000,7.418000,7.423400,7.423400,0
2018-11-19,7.427300,7.429200,7.420400,7.278000,7.278000,0
2018-11-20,7.425000,7.428200,7.406100,7.425000,7.425000,0
2018-11-21,7.425800,7.433600,7.406200,7.425400,7.425400,0
2018-11-22,7.429400,7.433900,7.424400,7.430000,7.430000,0
2018-11-23,7.429000,7.433300,7.424100,7.426300,7.426300,0
2018-11-26,7.282000,7.438000,7.282000,7.438000,7.438000,0
2018-11-27,7.425000,7.431000,7.406800,7.424700,7.424700,0
2018-11-28,7.420700,7.431300,7.398000,7.421000,7.421000,0
2018-11-29,7.411700,7.430300,7.405200,7.415000,7.415000,0
2018-11-30,7.414300,7.421100,7.385300,7.414000,7.414000,0
2018-12-03,7.388500,7.405700,7.385700,7.388500,7.388500,0
2018-12-04,7.388100,7.403300,7.382000,7.388600,7.388600,0
2018-12-05,7.401300,7.411500,7.385500,7.400000,7.400000,0
2018-12-06,7.395000,7.401600,7.385400,7.395600,7.395600,0
2018-12-07,7.386400,7.399000,7.383000,7.389000,7.389000,0
2018-12-10,7.382500,7.392900,7.380700,7.382500,7.382500,0
2018-12-11,7.388700,7.394100,7.375900,7.384000,7.384000,0
2018-12-12,7.382900,7.393300,7.381100,7.386000,7.386000,0
2018-12-13,7.383700,7.400800,7.374200,7.387300,7.387300,0
2018-12-14,7.389700,7.397600,7.381700,7.390000,7.390000,0
2018-12-17,7.387400,7.404600,7.387400,7.387400,7.387400,0
2018-12-18,7.401300,7.415400,7.389000,7.401000,7.401000,0
2018-12-19,7.413700,7.431900,7.400000,7.412000,7.412000,0
2018-12-20,7.419600,7.426600,7.401700,7.416300,7.416300,0
2018-12-21,7.415400,7.425300,7.403700,7.417600,7.417600,0
2018-12-24,7.423700,7.426000,7.408900,7.423700,7.423700,0
2018-12-25,7.419900,7.419900,7.419900,7.419900,7.419900,0
2018-12-26,7.419900,7.419900,7.419900,7.419900,7.419900,0
2018-12-27,7.273000,7.422300,7.273000,7.419900,7.419900,0
2018-12-28,7.407300,7.430000,7.402500,7.407700,7.407700,0
2018-12-31,7.423000,7.423000,7.398300,7.423000,7.423000,0
2019-01-01,7.407500,7.407500,7.407500,7.407500,7.407500,0
2019-01-02,7.407500,7.423300,7.404400,7.407500,7.407500,0
2019-01-03,7.422000,7.434000,7.415900,7.422300,7.422300,0
2019-01-04,7.425500,7.442700,7.410100,7.431000,7.431000,0
2019-01-07,7.435000,7.435700,7.417900,7.435000,7.435000,0
2019-01-08,7.420700,7.434700,7.406900,7.421400,7.421400,0
2019-01-09,7.425900,7.440100,7.421000,7.426700,7.426700,0
2019-01-10,7.427800,7.429100,7.418100,7.426500,7.426500,0
2019-01-11,7.426000,7.439000,7.420200,7.425700,7.425700,0
2019-01-14,7.431000,7.433500,7.422700,7.431000,7.431000,0
