"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","member_state_ID","member_state","member_state_code","decision_type_ID","decision_type","count_decisions"
13501,2004,1,"Competition","COMP",19,"Hungary","HU",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",3
13503,2004,1,"Competition","COMP",19,"Hungary","HU",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",3
13504,2004,1,"Competition","COMP",19,"Hungary","HU",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
13521,2004,1,"Competition","COMP",20,"Latvia","LV",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",1
13523,2004,1,"Competition","COMP",20,"Latvia","LV",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",3
13543,2004,1,"Competition","COMP",21,"Lithuania","LT",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",3
13561,2004,1,"Competition","COMP",22,"Malta","MT",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",2
13575,2004,1,"Competition","COMP",22,"Malta","MT",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",2
13578,2004,1,"Competition","COMP",22,"Malta","MT",18,"Article 22 of Council Regulation (EU) 2015/1589: proposal for appropriate measures",1
13581,2004,1,"Competition","COMP",23,"Poland","PL",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",16
13582,2004,1,"Competition","COMP",23,"Poland","PL",2,"Article 4(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid",1
13583,2004,1,"Competition","COMP",23,"Poland","PL",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",8
13584,2004,1,"Competition","COMP",23,"Poland","PL",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",9
13586,2004,1,"Competition","COMP",23,"Poland","PL",6,"Article 9(2) of Council Regulation (EU) 2015/1589: decision does not constitute aid (after formal investigation procedure)",1
13587,2004,1,"Competition","COMP",23,"Poland","PL",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",3
13588,2004,1,"Competition","COMP",23,"Poland","PL",8,"Article 9(4) of Council Regulation (EU) 2015/1589: conditional decision",2
13591,2004,1,"Competition","COMP",23,"Poland","PL",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",3
13593,2004,1,"Competition","COMP",23,"Poland","PL",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",1
13594,2004,1,"Competition","COMP",23,"Poland","PL",14,"Article 11 of Council Regulation (EU) 2015/1589: revocation of a decision",1
13595,2004,1,"Competition","COMP",23,"Poland","PL",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",1
13601,2004,1,"Competition","COMP",24,"Slovakia","SK",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",2
13603,2004,1,"Competition","COMP",24,"Slovakia","SK",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",2
13604,2004,1,"Competition","COMP",24,"Slovakia","SK",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
13611,2004,1,"Competition","COMP",24,"Slovakia","SK",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",1
13619,2004,1,"Competition","COMP",24,"Slovakia","SK",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",1
13623,2004,1,"Competition","COMP",25,"Slovenia","SI",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",2
13624,2004,1,"Competition","COMP",25,"Slovenia","SI",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",3
13627,2004,1,"Competition","COMP",25,"Slovenia","SI",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",3
13641,2004,2,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",3
13643,2004,2,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",6
13644,2004,2,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
13651,2004,2,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",1
13659,2004,2,"Agriculture and Rural Development","AGRI",1,"Belgium","BE",19,"Article 108(2) of the Treaty on the Functioning of the European Union (TFEU): referral to the Court of Justice (non-compliance with a Commission decision)",1
13661,2004,2,"Agriculture and Rural Development","AGRI",2,"France","FR",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",7
13663,2004,2,"Agriculture and Rural Development","AGRI",2,"France","FR",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",22
13664,2004,2,"Agriculture and Rural Development","AGRI",2,"France","FR",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",2
13667,2004,2,"Agriculture and Rural Development","AGRI",2,"France","FR",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",2
13681,2004,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",6
13683,2004,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",26
13684,2004,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
13685,2004,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",5,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to extend proceedings",1
13687,2004,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",1
13690,2004,2,"Agriculture and Rural Development","AGRI",3,"Germany","DE",10,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision without recovery",1
13701,2004,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",29
13703,2004,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",114
13704,2004,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",5
13707,2004,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",7,"Article 9(3) of Council Regulation (EU) 2015/1589: positive decision",1
13711,2004,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",3
13713,2004,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",13,"Article 10(2) of Council Regulation (EU) 2015/1589: withdrawal of notification (after formal investigation procedure)",1
13715,2004,2,"Agriculture and Rural Development","AGRI",4,"Italy","IT",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",2
13721,2004,2,"Agriculture and Rural Development","AGRI",5,"Luxembourg","LU",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",1
13723,2004,2,"Agriculture and Rural Development","AGRI",5,"Luxembourg","LU",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",2
13741,2004,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",2
13743,2004,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",12
13744,2004,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",4,"Article 4(4) of Council Regulation (EU) 2015/1589: decision to initiate the formal investigation procedure",1
13751,2004,2,"Agriculture and Rural Development","AGRI",6,"Netherlands","NL",11,"Articles 9(5) and 16(1) of Council Regulation (EU) 2015/1589: negative decision with recovery",1
13763,2004,2,"Agriculture and Rural Development","AGRI",7,"Denmark","DK",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",6
13781,2004,2,"Agriculture and Rural Development","AGRI",8,"Ireland","IE",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",1
13783,2004,2,"Agriculture and Rural Development","AGRI",8,"Ireland","IE",3,"Article 4(3) of Council Regulation (EU) 2015/1589: decision not to raise objections",2
13795,2004,2,"Agriculture and Rural Development","AGRI",8,"Ireland","IE",15,"Article 12(3) of Council Regulation (EU) 2015/1589: information injunction",1
13801,2004,2,"Agriculture and Rural Development","AGRI",9,"United Kingdom","UK",1,"Article 108(4) of the Treaty on the Functioning of the European Union (TFEU): exempt from notification under Article 108(3)",7
